Feature,Importance
time_to_update,0.4031414
hour_weekday_interaction_7_0,0.09581214
hour_weekday_interaction_5_0,0.0714254
borough,0.04661822
hour_weekday_interaction_2_0,0.045827895
hour_weekday_interaction_11_0,0.0399748
agency_name,0.02689898
park_borough,0.023337537
complaint_type,0.0192484
closed_hour,0.018336624
location_type,0.016504686
landmark,0.015658665
hour_weekday_interaction_9_0,0.01444933
created_month,0.009672049
longitude,0.008821014
incident_zip,0.008384806
descriptor,0.00827853
park_facility_name,0.008190931
hour_weekday_interaction_11_1,0.007173707
bbl,0.0070023844
status,0.0064996616
created_hour,0.00615596
hour_weekday_interaction_8_0,0.006055349
hour_weekday_interaction_10_0,0.0054795267
hour_weekday_interaction_6_0,0.005476607
hour_weekday_interaction_12_0,0.004921993
community_board,0.004759018
hour_weekday_interaction_15_1,0.004466104
latitude,0.0042556766
address_type,0.004189222
hour_weekday_interaction_14_1,0.0040144394
created_day,0.004011525
hour_weekday_interaction_4_0,0.0035348956
open_data_channel_type,0.0035186952
hour_weekday_interaction_13_0,0.003516627
hour_weekday_interaction_19_1,0.003363219
hour_weekday_interaction_12_1,0.0033586454
borough_complaint_type,0.0033291194
hour_weekday_interaction_7_1,0.0030052748
hour_weekday_interaction_14_0,0.0019948306
hour_weekday_interaction_16_1,0.001805938
hour_weekday_interaction_18_1,0.0017538483
hour_weekday_interaction_10_1,0.0015285972
hour_weekday_interaction_1_0,0.001294174
hour_weekday_interaction_17_1,0.0011310204
hour_weekday_interaction_20_0,0.0010361524
hour_weekday_interaction_21_0,0.00095782627
hour_weekday_interaction_20_1,0.0008478233
hour_weekday_interaction_13_1,0.0007643926
hour_weekday_interaction_2_1,0.0007428764
hour_weekday_interaction_18_0,0.00062721164
hour_weekday_interaction_6_1,0.00062407803
hour_weekday_interaction_21_1,0.00062118215
hour_weekday_interaction_22_0,0.00055388355
hour_weekday_interaction_8_1,0.00053507055
hour_weekday_interaction_5_1,0.00048866315
hour_weekday_interaction_23_1,0.0004822324
hour_weekday_interaction_9_1,0.00047184838
hour_weekday_interaction_15_0,0.00045230298
hour_weekday_interaction_17_0,0.00044065507
hour_weekday_interaction_16_0,0.00038143693
hour_weekday_interaction_0_1,0.0003590929
hour_weekday_interaction_1_1,0.00033155148
hour_weekday_interaction_3_1,0.00030188818
hour_weekday_interaction_4_1,0.00029713442
hour_weekday_interaction_22_1,0.00028890994
hour_weekday_interaction_23_0,0.00010895924
hour_weekday_interaction_19_0,9.475394e-05
hour_weekday_interaction_3_0,1.2628126e-05
response_weekday,0.0
